Town / City	Health Authority	Website Link
Andover	Eastern Highlands Health District	ehhd.org
Ansonia	Naugatuck Valley Health District	nvhd.org
Ashford	Eastern Highlands Health District	ehhd.org
Avon	Farmington Valley Health District	fvhd.org
Barkhamsted	Farmington Valley Health District	fvhd.org
Beacon Falls	Naugatuck Valley Health District	nvhd.org
Berlin	Central Connecticut Health District	ccthd.org
Bethany	Quinnipiack Valley Health District	qvhd.org
Bethel	Bethel Health Dept.	bethel-ct.gov
Bethlehem	Torrington Area Health District	tahd.org
Bloomfield	West Hartford-Bloomfield District	westhartfordct.gov
Bolton	Eastern Highlands Health District	ehhd.org
Bozrah	Uncas Health District	uncashd.org
Branford	East Shore District Health	esdhd.org
Bridgeport	Bridgeport Health & Social Services	bridgeportct.gov
Bridgewater	Newtown Health District	newtown-ct.gov/health-district
Bristol	Bristol-Burlington Health District	bbhd.org
Brookfield	Brookfield Health Dept.	brookfieldct.gov
Brooklyn	Northeast District Health	nddh.org
Burlington	Bristol-Burlington Health District	bbhd.org
Canaan	Torrington Area Health District	tahd.org
Canterbury	Northeast District Health	nddh.org
Canton	Farmington Valley Health District	fvhd.org
Chaplin	Eastern Highlands Health District	ehhd.org
Cheshire	Chesprocott Health District	chesprocott.org
Chester	CT River Area Health District	crahd.org
Clinton	CT River Area Health District	crahd.org
Colchester	Chatham Health District	chathamhealth.org
Colebrook	Farmington Valley Health District	fvhd.org
Columbia	Eastern Highlands Health District	ehhd.org
Cornwall	Torrington Area Health District	tahd.org
Coventry	Eastern Highlands Health District	ehhd.org
Cromwell	Cromwell Health Dept.	cromwellct.com
Danbury	Danbury Health & Human Services	danbury-ct.gov
Darien	Darien Health Dept.	darienct.gov
Deep River	CT River Area Health District	crahd.org
Derby	Naugatuck Valley Health District	nvhd.org
Durham	Durham Health Dept.	townofdurhamct.org
East Granby	Farmington Valley Health District	fvhd.org
East Haddam	Chatham Health District	chathamhealth.org
East Hampton	Chatham Health District	chathamhealth.org
East Hartford	East Hartford Health Dept.	easthartfordct.gov
East Haven	East Shore District Health	esdhd.org
East Lyme	Ledge Light Health District	llhd.org
East Windsor	North Central Health District	ncdhd.org
Eastford	Northeast District Health	nddh.org
Easton	Aspetuck Health District	aspetuckhd.org
Ellington	North Central Health District	ncdhd.org
Enfield	North Central Health District	ncdhd.org
Essex	Essex Health Dept.	essexct.gov
Fairfield	Fairfield Health Dept.	fairfieldct.org
Farmington	Farmington Valley Health District	fvhd.org
Franklin	Uncas Health District	uncashd.org
Glastonbury	Glastonbury Health Dept.	glastonbury-ct.gov
Goshen	Torrington Area Health District	tahd.org
Granby	Farmington Valley Health District	fvhd.org
Greenwich	Greenwich Health Dept.	greenwichct.gov
Griswold	Uncas Health District	uncashd.org
Groton	Ledge Light Health District	llhd.org
Guilford	Guilford Health Dept.	ci.guilford.ct.us
Haddam	CT River Area Health District	crahd.org
Hamden	Quinnipiack Valley Health District	qvhd.org
Hampton	Northeast District Health	nddh.org
Hartford	Hartford Health & Human Services	hartfordct.gov
Hartland	Farmington Valley Health District	fvhd.org
Harwinton	Torrington Area Health District	tahd.org
Hebron	Chatham Health District	chathamhealth.org
Kent	Torrington Area Health District	tahd.org
Killingly	Northeast District Health	nddh.org
Killingworth	Killingworth Health Dept.	townofkillingworth.com
Lebanon	Uncas Health District	uncashd.org
Ledyard	Ledge Light Health District	llhd.org
Lisbon	Uncas Health District	uncashd.org
Litchfield	Torrington Area Health District	tahd.org
Lyme	Lyme Health Dept.	townlyme.org
Madison	Madison Health Dept.	madisonct.org
Manchester	Manchester Health Dept.	manchesterct.gov
Mansfield	Eastern Highlands Health District	ehhd.org
Marlborough	Chatham Health District	chathamhealth.org
Meriden	Meriden Health & Human Services	meridenct.gov
Middlebury	Middlebury Health Dept.	middlebury-ct.org
